network,batch,optimizer,mse,acc
efnb4,16,RMSprop,0.7599294781684875,0.7462000250816345
efnb4,16,Adam,1.9386687278747559,0.2897999882698059
efnb4,32,RMSprop,0.8825041055679321,0.7032999992370605
efnb4,32,Adam,1.3097196817398071,0.5547000169754028
efnb4,64,RMSprop,1.0133278369903564,0.6884999871253967
efnb4,64,Adam,0.8915848731994629,0.6965000033378601
efnb3,16,RMSprop,0.8429655432701111,0.7269999980926514
efnb3,16,Adam,1.8247822523117065,0.28209999203681946
efnb3,32,RMSprop,0.8949156999588013,0.7113999724388123
efnb3,32,Adam,1.2667155265808105,0.5550000071525574
efnb3,64,RMSprop,1.0473461151123047,0.6661999821662903
efnb3,64,Adam,0.8610209822654724,0.7055000066757202
